epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,679.398,2.70295,2.08272,1.89073,0.30799,0.19677,0.20199,0.08729,2.08647,1.79865,1.53493,0.0670321,0.000333009,0.000333009
2,1352.75,1.99728,1.4094,1.45975,0.6885,0.35148,0.37408,0.17607,1.76024,1.20665,1.35939,0.0340299,0.000664143,0.000664143
3,2045.91,1.81148,1.22533,1.36246,0.71195,0.37222,0.40143,0.18993,1.66087,1.12735,1.29787,0.0010255,0.000993078,0.000993078
4,2741.67,1.71434,1.12234,1.31349,0.49364,0.40337,0.45065,0.21835,1.59154,1.04095,1.24308,0.0009901,0.0009901,0.0009901
5,3436.09,1.64757,1.06999,1.27491,0.77686,0.40269,0.4757,0.24075,1.51389,0.98557,1.22245,0.0009868,0.0009868,0.0009868
6,4123.41,1.59502,1.01481,1.25005,0.79486,0.43038,0.5106,0.26297,1.48328,0.91337,1.20113,0.0009835,0.0009835,0.0009835
7,4812.72,1.54622,0.96956,1.22918,0.61987,0.49026,0.5474,0.28932,1.44258,0.87219,1.17645,0.0009802,0.0009802,0.0009802
8,5497.1,1.51337,0.9254,1.20948,0.79941,0.4876,0.58043,0.2917,1.45959,0.86025,1.18142,0.0009769,0.0009769,0.0009769
9,6179.1,1.48153,0.89249,1.18888,0.70564,0.52319,0.59105,0.30636,1.44604,0.82357,1.16715,0.0009736,0.0009736,0.0009736
10,6862.62,1.46702,0.87289,1.18685,0.8187,0.50436,0.62137,0.31975,1.41218,0.81329,1.15204,0.0009703,0.0009703,0.0009703
11,7544.27,1.44498,0.8553,1.17104,0.74173,0.54368,0.62454,0.32717,1.37006,0.78633,1.13879,0.000967,0.000967,0.000967
12,8227.13,1.4279,0.84311,1.16412,0.78546,0.57466,0.65169,0.33427,1.38501,0.78402,1.13402,0.0009637,0.0009637,0.0009637
13,8910.25,1.40731,0.82208,1.15339,0.83743,0.493,0.64242,0.34242,1.35235,0.75954,1.12505,0.0009604,0.0009604,0.0009604
14,9591.76,1.3892,0.80247,1.14504,0.7465,0.58575,0.68447,0.36125,1.34469,0.7442,1.12029,0.0009571,0.0009571,0.0009571
15,10273.7,1.39286,0.80234,1.14776,0.79726,0.58789,0.68791,0.36672,1.35187,0.74547,1.12157,0.0009538,0.0009538,0.0009538
16,10955.4,1.36688,0.7869,1.13281,0.8093,0.59383,0.68286,0.364,1.32603,0.74023,1.1108,0.0009505,0.0009505,0.0009505
17,11636.7,1.36136,0.77329,1.1263,0.76433,0.54848,0.66206,0.35555,1.3177,0.7403,1.10848,0.0009472,0.0009472,0.0009472
18,12315,1.34797,0.76966,1.12772,0.73687,0.63674,0.68098,0.37387,1.30012,0.71974,1.09688,0.0009439,0.0009439,0.0009439
19,12998.7,1.3442,0.75664,1.12023,0.75924,0.6233,0.68959,0.37489,1.32416,0.709,1.11045,0.0009406,0.0009406,0.0009406
20,13684,1.32708,0.74015,1.11193,0.78838,0.62581,0.72344,0.39345,1.29802,0.70734,1.09318,0.0009373,0.0009373,0.0009373
21,14365.2,1.31257,0.73231,1.10914,0.79216,0.64274,0.70753,0.38183,1.29659,0.70154,1.09687,0.000934,0.000934,0.000934
22,15044.3,1.30613,0.73053,1.10103,0.7587,0.63604,0.71947,0.38827,1.28919,0.69032,1.09038,0.0009307,0.0009307,0.0009307
23,15723.4,1.30279,0.71662,1.09892,0.80773,0.65871,0.74555,0.41882,1.28864,0.6808,1.0892,0.0009274,0.0009274,0.0009274
24,16405.7,1.30021,0.71659,1.10034,0.77754,0.66287,0.73808,0.41002,1.28875,0.69124,1.09015,0.0009241,0.0009241,0.0009241
25,17085.4,1.29012,0.71409,1.09532,0.81681,0.6641,0.74765,0.42658,1.27324,0.68448,1.08118,0.0009208,0.0009208,0.0009208
26,17768.8,1.28616,0.71134,1.08853,0.80517,0.66047,0.75329,0.41853,1.28243,0.67776,1.08581,0.0009175,0.0009175,0.0009175
27,18446.9,1.29112,0.71019,1.09296,0.8482,0.64151,0.73263,0.40765,1.27245,0.67433,1.07359,0.0009142,0.0009142,0.0009142
28,19126.4,1.28316,0.70037,1.08012,0.8554,0.66126,0.77287,0.43109,1.27225,0.67474,1.07594,0.0009109,0.0009109,0.0009109
29,19810.2,1.2795,0.7026,1.08338,0.80952,0.68865,0.76677,0.43662,1.2754,0.67478,1.07634,0.0009076,0.0009076,0.0009076
30,20493.8,1.27279,0.70219,1.0774,0.79787,0.70481,0.76575,0.41786,1.27726,0.66296,1.07719,0.0009043,0.0009043,0.0009043
31,21176.3,1.26652,0.69351,1.07296,0.7508,0.68728,0.75322,0.4193,1.26982,0.6648,1.07507,0.000901,0.000901,0.000901
32,21857.2,1.26504,0.69249,1.06947,0.81883,0.69369,0.77678,0.43155,1.26756,0.65918,1.06924,0.0008977,0.0008977,0.0008977
33,22537.8,1.25666,0.68311,1.06953,0.80893,0.68792,0.77496,0.427,1.26378,0.65743,1.06792,0.0008944,0.0008944,0.0008944
34,23219.2,1.2517,0.68171,1.06641,0.85865,0.70269,0.78233,0.4377,1.26787,0.65795,1.07277,0.0008911,0.0008911,0.0008911
35,23901.7,1.25566,0.6825,1.06267,0.82586,0.71772,0.78793,0.44046,1.26409,0.65346,1.06384,0.0008878,0.0008878,0.0008878
36,24584.2,1.24448,0.67216,1.06339,0.8069,0.72237,0.78718,0.44495,1.25889,0.64598,1.06215,0.0008845,0.0008845,0.0008845
37,25269.7,1.23196,0.66335,1.05671,0.82749,0.68926,0.78873,0.42963,1.25974,0.65263,1.06426,0.0008812,0.0008812,0.0008812
38,25948,1.23508,0.66454,1.05285,0.83558,0.68127,0.77956,0.44274,1.26339,0.64949,1.06108,0.0008779,0.0008779,0.0008779
39,26627.4,1.22297,0.65522,1.04914,0.86247,0.66631,0.79231,0.43615,1.26282,0.64366,1.0657,0.0008746,0.0008746,0.0008746
40,27307.6,1.2177,0.65262,1.04977,0.80895,0.68272,0.77694,0.43993,1.25345,0.63293,1.05774,0.0008713,0.0008713,0.0008713
41,27985.7,1.21881,0.651,1.0456,0.7692,0.69146,0.75773,0.42999,1.25513,0.64134,1.05987,0.000868,0.000868,0.000868
42,28664.8,1.20381,0.6389,1.03887,0.78635,0.73043,0.79349,0.44442,1.25191,0.63016,1.0584,0.0008647,0.0008647,0.0008647
43,29349.4,1.20147,0.63938,1.04129,0.74141,0.75003,0.79407,0.44568,1.25784,0.6211,1.05894,0.0008614,0.0008614,0.0008614
44,30029.2,1.20331,0.6376,1.03896,0.84981,0.74022,0.8273,0.4683,1.25606,0.62133,1.06183,0.0008581,0.0008581,0.0008581
45,30709.1,1.19491,0.62996,1.03474,0.86821,0.69449,0.79976,0.45911,1.24854,0.62868,1.0531,0.0008548,0.0008548,0.0008548
46,31387.1,1.20235,0.63809,1.0388,0.7817,0.73819,0.7949,0.44614,1.23606,0.61775,1.05178,0.0008515,0.0008515,0.0008515
