epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2062.58,1.91982,1.36046,1.90838,0.84621,0.7267,0.84046,0.46042,1.58567,1.0974,1.77615,0.0670107,0.000333226,0.000333226
2,4120.54,1.57447,0.98914,1.62669,0.89892,0.83355,0.90966,0.5279,1.42432,0.85242,1.69011,0.0340085,0.000664359,0.000664359
3,6178.51,1.48018,0.86572,1.56493,0.92391,0.86928,0.93921,0.56374,1.3754,0.74551,1.64975,0.00100405,0.000993293,0.000993293
4,8230.37,1.4314,0.79509,1.52925,0.94026,0.88674,0.95199,0.58867,1.31351,0.654,1.59838,0.0009901,0.0009901,0.0009901
5,10280.3,1.39306,0.74539,1.51041,0.93334,0.90633,0.95856,0.59896,1.30807,0.61728,1.59214,0.0009868,0.0009868,0.0009868
6,12325.7,1.36605,0.71319,1.49094,0.93861,0.9106,0.95903,0.60272,1.26818,0.60668,1.56659,0.0009835,0.0009835,0.0009835
7,14372.3,1.34873,0.68271,1.48093,0.93685,0.90668,0.96087,0.60891,1.25593,0.57996,1.55848,0.0009802,0.0009802,0.0009802
8,16420,1.32634,0.65937,1.46332,0.93905,0.92829,0.96915,0.62001,1.25556,0.55935,1.54789,0.0009769,0.0009769,0.0009769
9,18462.4,1.31528,0.64658,1.45841,0.9401,0.928,0.96849,0.6251,1.22912,0.53802,1.52987,0.0009736,0.0009736,0.0009736
10,20509.4,1.308,0.6373,1.45249,0.94101,0.93019,0.9696,0.62725,1.22788,0.53309,1.52922,0.0009703,0.0009703,0.0009703
11,22570.1,1.29687,0.62217,1.44388,0.94055,0.92331,0.96766,0.63119,1.22756,0.53293,1.52846,0.000967,0.000967,0.000967
12,24841.3,1.28553,0.61643,1.4355,0.94377,0.92852,0.96917,0.6279,1.21399,0.5319,1.52127,0.0009637,0.0009637,0.0009637
13,27149.5,1.28754,0.61221,1.44154,0.9485,0.93257,0.97205,0.64016,1.20809,0.52295,1.50875,0.0009604,0.0009604,0.0009604
14,29267.1,1.26812,0.5969,1.42363,0.94609,0.9293,0.97027,0.64171,1.19938,0.51054,1.50215,0.0009571,0.0009571,0.0009571
15,31308.8,1.25849,0.58907,1.41633,0.94333,0.93673,0.97306,0.65287,1.19206,0.49919,1.49427,0.0009538,0.0009538,0.0009538
16,33356.1,1.25216,0.58796,1.41058,0.94477,0.93886,0.97359,0.65096,1.18198,0.49884,1.4875,0.0009505,0.0009505,0.0009505
17,35396.7,1.24985,0.57955,1.41194,0.94436,0.94064,0.97363,0.65815,1.17925,0.49421,1.48182,0.0009472,0.0009472,0.0009472
18,37439.5,1.23785,0.57125,1.40267,0.94283,0.94183,0.97488,0.65729,1.18168,0.49318,1.4832,0.0009439,0.0009439,0.0009439
19,39478.8,1.23234,0.5653,1.39848,0.94077,0.9428,0.97481,0.65605,1.1674,0.49258,1.47189,0.0009406,0.0009406,0.0009406
20,41518.9,1.22184,0.56416,1.39056,0.94706,0.94373,0.97574,0.66028,1.17961,0.47671,1.48112,0.0009373,0.0009373,0.0009373
21,43560.7,1.21368,0.55074,1.38342,0.94902,0.94479,0.97675,0.66827,1.16776,0.47136,1.46849,0.000934,0.000934,0.000934
22,45603.7,1.21452,0.5476,1.38545,0.94974,0.94673,0.97881,0.66806,1.17139,0.4707,1.47357,0.0009307,0.0009307,0.0009307
23,47646.7,1.20915,0.54506,1.37725,0.94572,0.94528,0.97704,0.67037,1.15417,0.46752,1.45858,0.0009274,0.0009274,0.0009274
24,49690.1,1.20241,0.54402,1.37618,0.95019,0.94221,0.97813,0.67166,1.15889,0.46285,1.45887,0.0009241,0.0009241,0.0009241
25,51733,1.19228,0.538,1.36908,0.952,0.94646,0.97827,0.67748,1.15304,0.45357,1.4559,0.0009208,0.0009208,0.0009208
26,53776,1.1933,0.52986,1.36853,0.94874,0.94928,0.97992,0.67637,1.14985,0.44593,1.45262,0.0009175,0.0009175,0.0009175
27,55818,1.18028,0.52771,1.36218,0.94896,0.94479,0.97759,0.67715,1.15298,0.45139,1.45217,0.0009142,0.0009142,0.0009142
28,57859.7,1.18117,0.52903,1.35975,0.9513,0.94856,0.9789,0.67799,1.14361,0.44968,1.44924,0.0009109,0.0009109,0.0009109
29,59902.6,1.18147,0.52405,1.36421,0.95076,0.94812,0.97946,0.68066,1.14396,0.44515,1.4469,0.0009076,0.0009076,0.0009076
30,61944.3,1.17264,0.51684,1.35453,0.95008,0.94666,0.97854,0.67973,1.1401,0.44145,1.44422,0.0009043,0.0009043,0.0009043
31,63984.1,1.17307,0.51686,1.35573,0.95464,0.94278,0.9794,0.68102,1.13981,0.44083,1.44177,0.000901,0.000901,0.000901
32,66026.3,1.16768,0.51123,1.35193,0.95344,0.94813,0.97886,0.68377,1.13593,0.43866,1.43852,0.0008977,0.0008977,0.0008977
33,68069.6,1.16355,0.50534,1.34921,0.9513,0.95227,0.98064,0.6838,1.13927,0.43672,1.4399,0.0008944,0.0008944,0.0008944
34,70110.4,1.1531,0.50579,1.34031,0.94837,0.95322,0.97996,0.68354,1.13602,0.43409,1.43741,0.0008911,0.0008911,0.0008911
