epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,558.552,2.60102,2.22417,2.03778,0.32113,0.18086,0.15708,0.077,2.00312,2.58651,1.66165,0.0670393,0.000332937,0.000332937
2,1120.98,1.88187,1.50257,1.49491,0.45297,0.34633,0.31948,0.1657,1.65402,1.25147,1.35882,0.0340371,0.000664071,0.000664071
3,1679.31,1.67386,1.28975,1.37258,0.5529,0.3764,0.38695,0.21754,1.53101,1.14563,1.28987,0.00103269,0.000993006,0.000993006
4,2240.06,1.5316,1.1269,1.28977,0.52367,0.38372,0.3929,0.22115,1.46031,1.14262,1.2422,0.0009901,0.0009901,0.0009901
5,2797.54,1.44859,1.03534,1.23571,0.5541,0.42348,0.43811,0.25897,1.35494,1.01082,1.18936,0.0009868,0.0009868,0.0009868
6,3356.92,1.38646,0.96731,1.21241,0.6144,0.44456,0.49442,0.28414,1.33486,0.90104,1.1686,0.0009835,0.0009835,0.0009835
7,3915.49,1.35755,0.93062,1.1902,0.60477,0.47975,0.51371,0.31194,1.29394,0.85759,1.15197,0.0009802,0.0009802,0.0009802
8,4474.64,1.30782,0.87994,1.16055,0.66817,0.49025,0.53901,0.3296,1.23132,0.80772,1.12166,0.0009769,0.0009769,0.0009769
9,5033.33,1.2672,0.84272,1.14604,0.72901,0.51443,0.59185,0.35547,1.21177,0.78565,1.109,0.0009736,0.0009736,0.0009736
10,5592.65,1.24823,0.82601,1.13604,0.73888,0.51089,0.59411,0.36404,1.21332,0.77277,1.10798,0.0009703,0.0009703,0.0009703
11,6152.8,1.20427,0.77847,1.11405,0.73639,0.53617,0.6068,0.3738,1.17477,0.73094,1.08865,0.000967,0.000967,0.000967
12,6713.58,1.19409,0.76498,1.11068,0.75724,0.54698,0.62569,0.38387,1.18002,0.72395,1.09407,0.0009637,0.0009637,0.0009637
13,7270.37,1.17455,0.7474,1.10281,0.74294,0.56806,0.63455,0.39308,1.15766,0.69896,1.0795,0.0009604,0.0009604,0.0009604
14,7828.02,1.15478,0.72404,1.08615,0.7735,0.55125,0.64679,0.40099,1.12871,0.67306,1.06799,0.0009571,0.0009571,0.0009571
15,8386.14,1.14369,0.71503,1.08561,0.73839,0.57077,0.63715,0.39447,1.14734,0.67089,1.0721,0.0009538,0.0009538,0.0009538
16,8940.63,1.11456,0.69102,1.07066,0.7534,0.59822,0.66922,0.41482,1.11403,0.65274,1.05917,0.0009505,0.0009505,0.0009505
17,9498.05,1.10202,0.67779,1.06851,0.78073,0.62403,0.69252,0.43896,1.0901,0.63525,1.0465,0.0009472,0.0009472,0.0009472
18,10056.2,1.09903,0.66817,1.06366,0.81506,0.59123,0.67854,0.42627,1.1003,0.66269,1.05122,0.0009439,0.0009439,0.0009439
19,10610.9,1.10106,0.66759,1.06292,0.76615,0.62797,0.6787,0.43216,1.07454,0.62128,1.03651,0.0009406,0.0009406,0.0009406
20,11165.8,1.0869,0.65695,1.05736,0.75497,0.63672,0.69397,0.43876,1.08378,0.60836,1.0465,0.0009373,0.0009373,0.0009373
21,11717.7,1.07307,0.64888,1.05346,0.80482,0.63332,0.71322,0.45314,1.06798,0.61085,1.03472,0.000934,0.000934,0.000934
22,12275.9,1.05848,0.63132,1.04503,0.81293,0.60846,0.70701,0.45259,1.07684,0.61736,1.04399,0.0009307,0.0009307,0.0009307
23,12830.4,1.05429,0.62951,1.03938,0.82727,0.60436,0.70417,0.45669,1.06979,0.60452,1.03999,0.0009274,0.0009274,0.0009274
24,13386.7,1.03963,0.6208,1.03449,0.76264,0.64763,0.70617,0.45282,1.06061,0.59444,1.03255,0.0009241,0.0009241,0.0009241
25,13941.3,1.04083,0.61472,1.03028,0.81467,0.6557,0.72643,0.46963,1.05882,0.57801,1.0309,0.0009208,0.0009208,0.0009208
26,14497.3,1.03535,0.60233,1.02736,0.78476,0.64636,0.70878,0.45768,1.07331,0.60525,1.03645,0.0009175,0.0009175,0.0009175
27,15052.2,1.01969,0.59722,1.02512,0.78139,0.66779,0.73319,0.47402,1.04811,0.57887,1.02114,0.0009142,0.0009142,0.0009142
28,15611.4,1.02287,0.58953,1.02094,0.82632,0.65187,0.73505,0.47485,1.0397,0.5749,1.0181,0.0009109,0.0009109,0.0009109
29,16164.8,1.00592,0.57948,1.01278,0.7984,0.66466,0.73231,0.47753,1.03297,0.5659,1.00973,0.0009076,0.0009076,0.0009076
30,16724.4,1.00764,0.5844,1.01564,0.81978,0.66403,0.73528,0.47519,1.04375,0.5754,1.02066,0.0009043,0.0009043,0.0009043
31,17278.7,1.00877,0.57561,1.0138,0.78965,0.69336,0.76137,0.48746,1.04045,0.56727,1.01714,0.000901,0.000901,0.000901
32,17834.7,1.00218,0.57012,1.00777,0.79891,0.69976,0.76287,0.49552,1.02841,0.55464,1.0101,0.0008977,0.0008977,0.0008977
33,18394.7,0.99542,0.57067,1.00788,0.80438,0.6859,0.75414,0.48564,1.02782,0.54729,1.0124,0.0008944,0.0008944,0.0008944
34,18950.3,0.99354,0.57616,1.00682,0.84195,0.66907,0.76032,0.48573,1.02877,0.54573,1.00899,0.0008911,0.0008911,0.0008911
